,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
218350_s_at,-0.195459906,6.945763641,-2.887420278,0.00698663,0.038233812,-2.889266013,GMNN
205512_s_at,-0.195176961,7.245546798,-3.997758818,0.000363054,0.003999593,-0.108208777,AIFM1
201567_s_at,-0.195166389,8.019332548,-2.92877769,0.006298407,0.035475985,-2.793671694,GOLGA4
1556580_a_at,-0.195164343,2.822613926,-3.291328386,0.002475669,0.017630971,-1.925116042,NA
222702_x_at,-0.195117722,7.765867498,-3.169043611,0.00340807,0.022547947,-2.22385885,CRIPT
203487_s_at,-0.195014954,7.801283168,-3.035146356,0.004810471,0.029049316,-2.544363692,ARMC8
208992_s_at,-0.194918348,9.601526275,-2.965081504,0.00574747,0.033119082,-2.70913182,STAT3
209093_s_at,-0.194783035,6.961283674,-2.971719585,0.005651788,0.032716942,-2.693611542,NA
222546_s_at,-0.194738478,3.971449152,-3.116061957,0.003908729,0.024913705,-2.351535339,EPS8L2
201383_s_at,-0.194702627,8.757130657,-3.378570484,0.001965669,0.014758871,-1.708712881,NBR1
210142_x_at,-0.194696011,8.831718888,-3.111083248,0.003959218,0.025165107,-2.363476414,FLOT1
212615_at,-0.194492003,7.702167449,-2.950143475,0.005968415,0.034062953,-2.743987748,CHD9
217971_at,-0.194424532,9.257712754,-3.24113546,0.002824261,0.019547996,-2.048404765,LAMTOR3
217957_at,-0.194369458,8.423881608,-2.957612933,0.005856952,0.033602188,-2.726570929,CFAP20
242817_at,-0.194060651,4.007858221,-2.932146334,0.00624526,0.035245621,-2.785851652,PGLYRP2
209971_x_at,-0.193996545,8.372433162,-3.504010848,0.001405776,0.01139016,-1.39313437,AIMP2
201541_s_at,-0.19386936,8.65840601,-3.049847438,0.004633172,0.028258027,-2.509529039,ZNHIT1
212025_s_at,-0.193803358,8.054412058,-3.197498446,0.003165055,0.021319377,-2.154840198,FLII
238590_x_at,-0.1937616,7.555385208,-2.970792096,0.005665066,0.032772985,-2.695781224,TMEM107
239907_at,-0.193753024,4.039289392,-3.05552111,0.004566418,0.027964707,-2.496061158,NA
202443_x_at,-0.19370936,10.83975734,-3.03232781,0.004845191,0.029191272,-2.551032046,NOTCH2
218091_at,-0.193678959,8.469539081,-2.979083997,0.005547399,0.032310095,-2.676370726,AGFG1
200801_x_at,-0.193499324,14.13983536,-4.5152685,8.42E-05,0.001295603,1.291924145,ACTB
1569495_at,-0.193409456,3.084975409,-3.375450672,0.001982023,0.014859056,-1.716496369,SCLT1
210589_s_at,-0.193404503,7.339472037,-3.523306447,0.001334649,0.010950001,-1.344152588,GBAP1
